Average velocities saved to average_velocities.txt
         31881503 function calls (31027791 primitive calls) in 41.996 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1206    0.008    0.000    0.011    0.000 axis3d.py:321(_get_axis_line_edge_points)
      648    0.003    0.000    0.011    0.000 transforms.py:317(ymax)
     6160    0.009    0.000    0.011    0.000 transforms.py:242(x0)
      265    0.001    0.000    0.011    0.000 overrides.py:142(decorator)
  958/479    0.003    0.000    0.011    0.000 transforms.py:2458(inverted)
     1007    0.004    0.000    0.011    0.000 colors.py:1251(__init__)
     3141    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.011    0.005 __init__.py:12(__getattr__)
      806    0.002    0.000    0.011    0.000 collections.py:591(set_linestyle)
     7190    0.011    0.000    0.011    0.000 {method 'expandtabs' of 'str' objects}
       12    0.000    0.000    0.011    0.001 core.py:1149(parse_string)
     2418    0.006    0.000    0.011    0.000 _base.py:73(wrapper)
     4045    0.004    0.000    0.011    0.000 <frozen _collections_abc>:911(__iter__)
     2975    0.006    0.000    0.011    0.000 axes3d.py:1020(get_ylim)
      608    0.003    0.000    0.011    0.000 axis.py:1953(set_minor_locator)
     2412    0.009    0.000    0.011    0.000 core.py:676(get_masked_subclass)
 1070/920    0.002    0.000    0.010    0.000 transforms.py:2401(_iter_break_from_left_to_right)
       13    0.000    0.000    0.010    0.001 rcsetup.py:426(validate_font_properties)
    12672    0.007    0.000    0.010    0.000 lines.py:550(set_markevery)
      201    0.007    0.000    0.010    0.000 proj3d.py:181(_proj_transform_vec_clip)
        1    0.000    0.000    0.010    0.010 table.py:1(<module>)
     2612    0.010    0.000    0.010    0.000 {built-in method numpy.arange}
       10    0.000    0.000    0.010    0.001 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
     2430    0.005    0.000    0.010    0.000 ticker.py:1968(le)
        1    0.000    0.000    0.010    0.010 fromnumeric.py:1(<module>)
      443    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      478    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    28414    0.010    0.000    0.010    0.000 artist.py:838(get_visible)
        1    0.000    0.000    0.010    0.010 __init__.py:244(_check_versions)
        1    0.000    0.000    0.010    0.010 _secondary_axes.py:1(<module>)
        3    0.000    0.000    0.010    0.003 patches.py:2283(__init_subclass__)
      200    0.001    0.000    0.010    0.000 path.py:489(transformed)
      603    0.009    0.000    0.010    0.000 shape_base.py:377(stack)
     9714    0.008    0.000    0.010    0.000 backend_bases.py:976(get_hatch_path)
        6    0.000    0.000    0.010    0.002 patches.py:2325(pprint_styles)
        1    0.000    0.000    0.010    0.010 legend.py:1(<module>)
      314    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
    41713    0.010    0.000    0.010    0.000 font_manager.py:707(get_size)
        2    0.000    0.000    0.010    0.005 backend_macosx.py:181(show)
    31817    0.010    0.000    0.010    0.000 __init__.py:78(<genexpr>)
    10280    0.010    0.000    0.010    0.000 text.py:1339(set_parse_math)
     2975    0.006    0.000    0.010    0.000 axes3d.py:1024(get_zlim)
     4233    0.006    0.000    0.010    0.000 markers.py:266(__bool__)
     1200    0.002    0.000    0.010    0.000 core.py:1583(_shrink_mask)
      435    0.005    0.000    0.010    0.000 enum.py:254(__set_name__)
        2    0.010    0.005    0.010    0.005 {method '_show' of 'matplotlib.backends._macosx.FigureManager' objects}
      200    0.001    0.000    0.010    0.000 core.py:8534(asarray)
        1    0.000    0.000    0.009    0.009 tempfile.py:1(<module>)
    35611    0.009    0.000    0.009    0.000 font_manager.py:678(get_style)
      630    0.009    0.000    0.009    0.000 {built-in method matplotlib._path.update_path_extents}
      200    0.009    0.000    0.009    0.000 {method 'resize' of 'matplotlib.backends._macosx.FigureManager' objects}
      851    0.003    0.000    0.009    0.000 _base.py:1174(_set_artist_props)
        1    0.000    0.000    0.009    0.009 _array_like.py:1(<module>)
      434    0.003    0.000    0.009    0.000 typing.py:175(_type_check)
     8910    0.009    0.000    0.009    0.000 backend_bases.py:859(set_antialiased)
      203    0.000    0.000    0.009    0.000 cm.py:561(set_norm)
        1    0.000    0.000    0.009    0.009 plistlib.py:1(<module>)
      603    0.001    0.000    0.009    0.000 transforms.py:1725(frozen)
   306/12    0.001    0.000    0.009    0.001 core.py:810(_parseNoCache)
     1206    0.009    0.000    0.009    0.000 axis3d.py:311(_calc_centers_deltas)
    72/12    0.000    0.000    0.009    0.001 core.py:4127(parseImpl)
        1    0.000    0.000    0.009    0.009 artist.py:1(<module>)
      4/1    0.000    0.000    0.009    0.009 offsetbox.py:374(draw)
    22033    0.009    0.000    0.009    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
      627    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
        2    0.000    0.000    0.009    0.004 _base.py:3229(grid)
      608    0.008    0.000    0.009    0.000 ticker.py:2051(_staircase)
        4    0.000    0.000    0.009    0.002 axis.py:1702(grid)
      203    0.002    0.000    0.009    0.000 cm.py:532(norm)
     7669    0.009    0.000    0.009    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      671    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:162(__enter__)
       10    0.000    0.000    0.009    0.001 core.py:5780(__init__)
    35611    0.008    0.000    0.008    0.000 font_manager.py:684(get_variant)
     3848    0.005    0.000    0.008    0.000 spines.py:565(__getitem__)
       40    0.001    0.000    0.008    0.000 axes3d.py:1392(format_zdata)
     6075    0.005    0.000    0.008    0.000 numeric.py:2443(<genexpr>)
     30/9    0.000    0.000    0.008    0.001 core.py:4662(leave_whitespace)
        1    0.000    0.000    0.008    0.008 cm.py:32(_gen_cmap_registry)
    17078    0.008    0.000    0.008    0.000 {built-in method math.radians}
        3    0.000    0.000    0.008    0.003 exceptions.py:1(<module>)
    41817    0.008    0.000    0.008    0.000 copy.py:102(_copy_immutable)
    34833    0.008    0.000    0.008    0.000 font_manager.py:713(get_file)
        5    0.000    0.000    0.008    0.002 offsetbox.py:54(get_offset)
      336    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     7522    0.008    0.000    0.008    0.000 {built-in method numpy.zeros}
      712    0.002    0.000    0.008    0.000 fromnumeric.py:3080(max)
        5    0.000    0.000    0.008    0.002 offsetbox.py:291(get_offset)
        2    0.000    0.000    0.008    0.004 legend.py:731(_findoffset)
    13444    0.008    0.000    0.008    0.000 {built-in method math.cos}
      201    0.000    0.000    0.008    0.000 art3d.py:727(set_sizes)
        2    0.000    0.000    0.008    0.004 legend.py:1161(_find_best_position)
     2412    0.008    0.000    0.008    0.000 {built-in method numpy._core._multiarray_umath._get_extobj_dict}
      200    0.001    0.000    0.008    0.000 _axes.py:4489(_parse_scatter_color_args)
       10    0.000    0.000    0.008    0.001 util.py:371(_inner)
     5782    0.004    0.000    0.008    0.000 numerictypes.py:289(issubclass_)
      461    0.001    0.000    0.008    0.000 core.py:523(copy)
    34831    0.008    0.000    0.008    0.000 font_manager.py:871(get_math_fontfamily)
        1    0.000    0.000    0.008    0.008 npyio.py:1(<module>)
     1211    0.004    0.000    0.008    0.000 transforms.py:986(intervalx)
     3612    0.008    0.000    0.008    0.000 {method 'copy' of 'numpy.generic' objects}
     7109    0.005    0.000    0.008    0.000 transforms.py:1783(__array__)
     7311    0.006    0.000    0.008    0.000 text.py:284(get_rotation)
        1    0.000    0.000    0.008    0.008 random.py:1(<module>)
    35611    0.008    0.000    0.008    0.000 font_manager.py:690(get_weight)
     4041    0.004    0.000    0.008    0.000 _ufunc_config.py:457(__exit__)
    15097    0.008    0.000    0.008    0.000 {method 'replace' of 'str' objects}
     4677    0.005    0.000    0.008    0.000 backend_bases.py:842(set_alpha)
      404    0.000    0.000    0.008    0.000 _base.py:216(__init__)
     2430    0.004    0.000    0.008    0.000 ticker.py:1975(ge)
     8446    0.008    0.000    0.008    0.000 axis.py:220(get_tick_padding)
        1    0.000    0.000    0.007    0.007 spines.py:1(<module>)
     1816    0.003    0.000    0.007    0.000 axis.py:835(limit_range_for_scale)
        1    0.000    0.000    0.007    0.007 version.py:161(Version)
    35611    0.007    0.000    0.007    0.000 font_manager.py:699(get_stretch)
        1    0.000    0.000    0.007    0.007 _internal.py:1(<module>)
      180    0.001    0.000    0.007    0.000 path.py:413(iter_bezier)
      404    0.003    0.000    0.007    0.000 _base.py:220(set_prop_cycle)
        2    0.000    0.000    0.007    0.004 legend.py:951(_auto_legend_data)
    36161    0.007    0.000    0.007    0.000 transforms.py:1819(get_affine)
      679    0.002    0.000    0.007    0.000 pathlib.py:1157(__init__)
        1    0.000    0.000    0.007    0.007 _tricontour.py:1(<module>)
     4233    0.007    0.000    0.007    0.000 artist.py:594(get_url)
      216    0.001    0.000    0.007    0.000 transforms.py:2261(inverted)
      111    0.001    0.000    0.007    0.000 rcsetup.py:99(f)
        7    0.000    0.000    0.007    0.001 core.py:2827(__init__)
     2679    0.004    0.000    0.007    0.000 cbook.py:405(_strip_comment)
    16896    0.007    0.000    0.007    0.000 spines.py:558(__getattr__)
        1    0.000    0.000    0.007    0.007 dates.py:1(<module>)
     8396    0.007    0.000    0.007    0.000 {built-in method sys.intern}
    45/12    0.000    0.000    0.007    0.001 typing.py:1294(__getitem__)
   133/64    0.000    0.000    0.007    0.000 core.py:3976(copy)
     62/9    0.000    0.000    0.007    0.001 core.py:3884(leave_whitespace)
      780    0.004    0.000    0.006    0.000 font_manager.py:1120(score_family)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
      537    0.003    0.000    0.006    0.000 enum.py:390(__setitem__)
     4860    0.005    0.000    0.006    0.000 ticker.py:1958(closeto)
     6454    0.006    0.000    0.006    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
      614    0.001    0.000    0.006    0.000 text.py:1150(set_fontweight)
      201    0.003    0.000    0.006    0.000 proj3d.py:96(_view_transformation_uvw)
      760    0.004    0.000    0.006    0.000 <frozen posixpath>:71(join)
      351    0.002    0.000    0.006    0.000 inspect.py:801(_finddoc)
     7493    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
      671    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.006    0.006 _npyio_impl.py:1(<module>)
     3671    0.006    0.000    0.006    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
     6138    0.005    0.000    0.006    0.000 transforms.py:252(y0)
        1    0.000    0.000    0.006    0.006 offsetbox.py:363(get_window_extent)
      609    0.001    0.000    0.006    0.000 text.py:586(set_clip_box)
        1    0.000    0.000    0.006    0.006 _methods.py:1(<module>)
      324    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
      414    0.002    0.000    0.006    0.000 patches.py:114(_process_radius)
     2430    0.002    0.000    0.006    0.000 _ufunc_config.py:489(_no_nep50_warning)
        1    0.000    0.000    0.006    0.006 backend_tools.py:1(<module>)
      235    0.004    0.000    0.006    0.000 __init__.py:416(by_key)
       93    0.006    0.000    0.006    0.000 {built-in method posix.getcwd}
    13444    0.006    0.000    0.006    0.000 {built-in method math.sin}
     6217    0.006    0.000    0.006    0.000 core.py:1317(_replace_dtype_fields_recursive)
      201    0.000    0.000    0.006    0.000 transforms.py:1478(__array__)
     1206    0.004    0.000    0.006    0.000 axis3d.py:181(get_minor_ticks)
      291    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.006    0.006 axis.py:2403(_update_label_position)
       71    0.001    0.000    0.006    0.000 deprecation.py:260(rename_parameter)
        1    0.000    0.000    0.006    0.006 font_manager.py:1570(_load_fontmanager)
       22    0.000    0.000    0.006    0.000 core.py:5066(parseImpl)
      819    0.002    0.000    0.006    0.000 <frozen _collections_abc>:811(__contains__)
    14751    0.006    0.000    0.006    0.000 transforms.py:1768(<lambda>)
       24    0.003    0.000    0.006    0.000 util.py:208(_collapse_string_to_ranges)
        1    0.000    0.000    0.006    0.006 animation.py:305(setup)
        3    0.000    0.000    0.006    0.002 spines.py:142(get_window_extent)
     9709    0.006    0.000    0.006    0.000 {method 'extend' of 'list' objects}
     3046    0.005    0.000    0.006    0.000 transforms.py:350(width)
    10009    0.004    0.000    0.006    0.000 transforms.py:2318(get_matrix)
      982    0.004    0.000    0.006    0.000 inspect.py:754(unwrap)
       32    0.001    0.000    0.006    0.000 colors.py:1049(from_list)
       64    0.001    0.000    0.006    0.000 util.py:360(replaced_by_pep8)
      230    0.001    0.000    0.006    0.000 overrides.py:83(verify_matching_signatures)
      207    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.006    0.006 font_manager.py:975(json_load)
    20260    0.006    0.000    0.006    0.000 numeric.py:214(_ones_like_dispatcher)
    20495    0.006    0.000    0.006    0.000 multiarray.py:1101(copyto)
    30080    0.006    0.000    0.006    0.000 path.py:254(should_simplify)
        3    0.005    0.002    0.006    0.002 backend_agg.py:64(__init__)
     3216    0.004    0.000    0.006    0.000 artist.py:267(<genexpr>)
      241    0.000    0.000    0.006    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.005    0.005 __init__.py:274(load)
        1    0.001    0.001    0.005    0.005 animation.py:313(_run)
     5257    0.005    0.000    0.005    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     1216    0.002    0.000    0.005    0.000 shape_base.py:22(atleast_1d)
    30080    0.005    0.000    0.005    0.000 path.py:242(simplify_threshold)
       90    0.005    0.000    0.005    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.005    0.005 _base.py:2877(autoscale_view)
      200    0.001    0.000    0.005    0.000 markers.py:511(_set_circle)
    22071    0.005    0.000    0.005    0.000 multiarray.py:82(empty_like)
       34    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      119    0.000    0.000    0.005    0.000 <frozen abc>:105(__new__)
       18    0.000    0.000    0.005    0.000 rcsetup.py:690(cycler)
      241    0.002    0.000    0.005    0.000 typing.py:262(_collect_parameters)
    30336    0.005    0.000    0.005    0.000 path.py:223(codes)
     5270    0.005    0.000    0.005    0.000 {built-in method math.log10}
      203    0.000    0.000    0.005    0.000 cm.py:514(set_cmap)
        2    0.000    0.000    0.005    0.003 axes3d.py:1793(tick_params)
      671    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    15560    0.005    0.000    0.005    0.000 artist.py:608(get_gid)
        1    0.000    0.000    0.005    0.005 axes3d.py:40(Axes3D)
        7    0.001    0.000    0.005    0.001 enum.py:919(_convert_)
        1    0.000    0.000    0.005    0.005 bz2.py:1(<module>)
     2630    0.005    0.000    0.005    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     4037    0.005    0.000    0.005    0.000 cbook.py:2356(_is_torch_array)
    18632    0.005    0.000    0.005    0.000 multiarray.py:161(concatenate)
     1623    0.002    0.000    0.005    0.000 typing.py:1215(__setattr__)
        1    0.000    0.000    0.005    0.005 __init__.py:299(loads)
      679    0.003    0.000    0.005    0.000 pathlib.py:358(__init__)
        1    0.000    0.000    0.005    0.005 decoder.py:332(decode)
        1    0.000    0.000    0.005    0.005 ImagePalette.py:1(<module>)
      203    0.001    0.000    0.005    0.000 cm.py:638(_ensure_cmap)
        1    0.001    0.001    0.005    0.005 decoder.py:343(raw_decode)
      800    0.001    0.000    0.005    0.000 core.py:1684(make_mask_none)
        1    0.000    0.000    0.005    0.005 subprocess.py:807(__init__)
      610    0.001    0.000    0.005    0.000 artist.py:751(set_clip_box)
      604    0.002    0.000    0.005    0.000 transforms.py:981(p1)
      554    0.001    0.000    0.005    0.000 typing.py:166(_type_convert)
    15392    0.005    0.000    0.005    0.000 fromnumeric.py:3778(_mean_dispatcher)
    12288    0.005    0.000    0.005    0.000 markers.py:272(get_fillstyle)
      243    0.002    0.000    0.005    0.000 cbook.py:215(connect)
        1    0.000    0.000    0.005    0.005 decoder.py:1(<module>)
     2014    0.002    0.000    0.005    0.000 colors.py:204(_sanitize_extrema)
        1    0.000    0.000    0.005    0.005 ipaddress.py:1(<module>)
      336    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
     7342    0.005    0.000    0.005    0.000 font_manager.py:1555(<genexpr>)
        2    0.004    0.002    0.005    0.002 backend_macosx.py:42(__init__)
    18246    0.005    0.000    0.005    0.000 text.py:907(get_text)
     5092    0.003    0.000    0.005    0.000 _parser.py:261(get)
      671    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:372(release)
     1823    0.001    0.000    0.005    0.000 cbook.py:1787(sanitize_sequence)
        1    0.000    0.000    0.005    0.005 rrule.py:1(<module>)
      269    0.002    0.000    0.005    0.000 inspect.py:2120(_signature_bound_method)
    16290    0.005    0.000    0.005    0.000 markers.py:449(_set_nothing)
      414    0.002    0.000    0.004    0.000 enum.py:1562(__and__)
      8/5    0.000    0.000    0.004    0.001 offsetbox.py:473(_get_bbox_and_child_offsets)
    38/18    0.000    0.000    0.004    0.000 core.py:4645(parseImpl)
      460    0.001    0.000    0.004    0.000 patches.py:376(set_edgecolor)
     1630    0.004    0.000    0.004    0.000 transforms.py:1847(is_separable)
    45/12    0.000    0.000    0.004    0.000 typing.py:1326(_determine_new_args)
      780    0.004    0.000    0.004    0.000 font_manager.py:1178(score_stretch)
        1    0.004    0.004    0.004    0.004 font_manager.py:1499(_get_font)
      800    0.002    0.000    0.004    0.000 core.py:458(_check_fill_value)
        1    0.000    0.000    0.004    0.004 subprocess.py:1791(_execute_child)
      608    0.002    0.000    0.004    0.000 axis.py:1178(get_inverted)
       15    0.000    0.000    0.004    0.000 core.py:617(set_parse_action)
      602    0.001    0.000    0.004    0.000 {method 'any' of 'numpy.generic' objects}
     6969    0.004    0.000    0.004    0.000 __init__.py:259(__iter__)
      494    0.002    0.000    0.004    0.000 patches.py:361(_set_edgecolor)
      905    0.002    0.000    0.004    0.000 inspect.py:176(get_annotations)
    45/12    0.000    0.000    0.004    0.000 typing.py:1355(_make_substitution)
       34    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      582    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    10041    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.004    0.004 units.py:1(<module>)
        3    0.000    0.000    0.004    0.001 _common.py:1(<module>)
 1234/405    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
       20    0.000    0.000    0.004    0.000 core.py:5176(parseImpl)
     9714    0.004    0.000    0.004    0.000 artist.py:720(get_path_effects)
       34    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
     1801    0.002    0.000    0.004    0.000 cbook.py:501(is_scalar_or_string)
       60    0.000    0.000    0.004    0.000 __init__.py:833(_open_file_or_url)
      780    0.001    0.000    0.004    0.000 font_manager.py:1196(score_weight)
      608    0.002    0.000    0.004    0.000 scale.py:707(scale_factory)
     4824    0.004    0.000    0.004    0.000 axis3d.py:441(_axmask)
        1    0.000    0.000    0.004    0.004 layout_engine.py:1(<module>)
       19    0.000    0.000    0.004    0.000 core.py:263(_trim_arity)
      150    0.002    0.000    0.004    0.000 bezier.py:208(__call__)
      6/4    0.000    0.000    0.004    0.001 offsetbox.py:441(_get_bbox_and_child_offsets)
     8442    0.004    0.000    0.004    0.000 lines.py:1456(is_dashed)
      603    0.001    0.000    0.004    0.000 axes3d.py:1777(grid)
    26/14    0.000    0.000    0.004    0.000 core.py:4375(parseImpl)
    14538    0.004    0.000    0.004    0.000 axis.py:265(get_loc)
     2093    0.003    0.000    0.004    0.000 cbook.py:1914(_str_lower_equal)
     1814    0.002    0.000    0.004    0.000 axis.py:2543(get_minpos)
        3    0.000    0.000    0.004    0.001 axis3d.py:148(_init3d)
        1    0.000    0.000    0.004    0.004 traceback.py:221(extract_stack)
        2    0.000    0.000    0.004    0.002 dataclasses.py:1264(wrap)
     5607    0.004    0.000    0.004    0.000 core.py:3494(shape)
        2    0.000    0.000    0.004    0.002 dataclasses.py:921(_process_class)
       44    0.001    0.000    0.004    0.000 deprecation.py:131(deprecate)
        1    0.000    0.000    0.004    0.004 _afm.py:1(<module>)
        1    0.000    0.000    0.004    0.004 traceback.py:377(extract)
       68    0.000    0.000    0.004    0.000 typing.py:892(__init__)
        1    0.000    0.000    0.004    0.004 traceback.py:399(_extract_from_extended_frame_gen)
     10/4    0.000    0.000    0.004    0.001 offsetbox.py:358(get_bbox)
       66    0.000    0.000    0.004    0.000 core.py:1446(__add__)
      611    0.001    0.000    0.004    0.000 patches.py:317(get_patch_transform)
        4    0.000    0.000    0.004    0.001 traceback.py:318(line)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
     1200    0.002    0.000    0.004    0.000 fromnumeric.py:1913(ravel)
        2    0.000    0.000    0.004    0.002 linecache.py:26(getline)
        2    0.000    0.000    0.004    0.002 linecache.py:36(getlines)
    10280    0.004    0.000    0.004    0.000 text.py:605(set_wrap)
      548    0.002    0.000    0.004    0.000 typing.py:1636(__hash__)
        1    0.000    0.000    0.004    0.004 linecache.py:80(updatecache)
     4223    0.003    0.000    0.004    0.000 colors.py:234(_has_alpha_channel)
       38    0.004    0.000    0.004    0.000 {built-in method _io.open}
     2430    0.003    0.000    0.004    0.000 ticker.py:1943(__init__)
     2430    0.003    0.000    0.004    0.000 ticker.py:1637(raise_if_exceeds)
    12915    0.004    0.000    0.004    0.000 font_manager.py:851(set_file)
      328    0.001    0.000    0.004    0.000 inspect.py:3093(replace)
      140    0.002    0.000    0.004    0.000 _compiler.py:243(_optimize_charset)
     2608    0.002    0.000    0.004    0.000 core.py:6860(is_masked)
        1    0.000    0.000    0.004    0.004 tz.py:1(<module>)
      452    0.001    0.000    0.004    0.000 font_manager.py:934(_json_decode)
     2412    0.003    0.000    0.004    0.000 core.py:3295(_scalar_heuristic)
        1    0.000    0.000    0.004    0.004 lzma.py:1(<module>)
     2171    0.002    0.000    0.004    0.000 typing.py:1161(_is_dunder)
    20033    0.004    0.000    0.004    0.000 fromnumeric.py:3571(ndim)
      655    0.001    0.000    0.004    0.000 transforms.py:2695(get_matrix)
      150    0.002    0.000    0.004    0.000 bezier.py:199(__init__)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
      357    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.004    0.004 expat.py:1(<module>)
    18066    0.003    0.000    0.003    0.000 enum.py:1273(__deepcopy__)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
    12266    0.003    0.000    0.003    0.000 patches.py:811(rotation_point)
     78/4    0.001    0.000    0.003    0.001 core.py:977(_parseCache)
    15560    0.003    0.000    0.003    0.000 backend_bases.py:157(open_group)
       39    0.000    0.000    0.003    0.000 typing.py:521(__getitem__)
    14627    0.003    0.000    0.003    0.000 text.py:1335(get_usetex)
      311    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
      109    0.000    0.000    0.003    0.000 typing.py:345(_remove_dups_flatten)
      401    0.002    0.000    0.003    0.000 _base.py:855(_request_autoscale_view)
       58    0.000    0.000    0.003    0.000 core.py:3143(parseImpl)
     5926    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.003    0.003 gzip.py:1(<module>)
      236    0.000    0.000    0.003    0.000 typing.py:1174(__init__)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
      336    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
      351    0.001    0.000    0.003    0.000 inspect.py:791(_findclass)
      405    0.001    0.000    0.003    0.000 figure.py:3055(get_size_inches)
        2    0.000    0.000    0.003    0.002 __init__.py:1139(rc_context)
     3634    0.003    0.000    0.003    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
    15560    0.003    0.000    0.003    0.000 backend_bases.py:164(close_group)
      202    0.001    0.000    0.003    0.000 transforms.py:800(null)
       39    0.000    0.000    0.003    0.000 typing.py:753(Literal)
      435    0.001    0.000    0.003    0.000 __init__.py:179(sub)
        1    0.003    0.003    0.003    0.003 {method 'readlines' of '_io._IOBase' objects}
       67    0.001    0.000    0.003    0.000 core.py:4042(__init__)
  280/180    0.000    0.000    0.003    0.000 core.py:1944(name)
     4632    0.003    0.000    0.003    0.000 axis.py:1799(have_units)
      576    0.001    0.000    0.003    0.000 cm.py:87(__getitem__)
      607    0.002    0.000    0.003    0.000 transforms.py:991(intervaly)
        1    0.000    0.000    0.003    0.003 __init__.py:458(_mac_os_check)
     7128    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
    10512    0.003    0.000    0.003    0.000 fromnumeric.py:210(_reshape_dispatcher)
     9870    0.003    0.000    0.003    0.000 figure.py:2766(_get_dpi)
     9188    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.003    0.002 core.py:6072(srange)
     1608    0.003    0.000    0.003    0.000 {method 'item' of 'numpy.generic' objects}
  210/117    0.000    0.000    0.003    0.000 core.py:1907(default_name)
        1    0.000    0.000    0.003    0.003 core.py:395(ParserElement)
      909    0.002    0.000    0.003    0.000 patches.py:778(get_path)
      359    0.000    0.000    0.003    0.000 typing.py:730(<genexpr>)
      200    0.000    0.000    0.003    0.000 axes3d.py:500(set_zmargin)
      200    0.001    0.000    0.003    0.000 cbook.py:495(open_file_cm)
       44    0.000    0.000    0.003    0.000 _base.py:67(__set_name__)
    20033    0.003    0.000    0.003    0.000 fromnumeric.py:3567(_ndim_dispatcher)
        1    0.000    0.000    0.003    0.003 scanner.py:1(<module>)
     4861    0.003    0.000    0.003    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.003    0.003 ExifTags.py:21(Base)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
        2    0.000    0.000    0.003    0.001 fromnumeric.py:973(sort)
        2    0.001    0.000    0.003    0.001 __init__.py:809(copy)
      291    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      600    0.001    0.000    0.003    0.000 core.py:3588(mask)
        5    0.000    0.000    0.003    0.001 offsetbox.py:762(get_bbox)
        2    0.003    0.001    0.003    0.001 {method 'sort' of 'numpy.ndarray' objects}
      201    0.000    0.000    0.003    0.000 fromnumeric.py:1144(argsort)
      459    0.001    0.000    0.003    0.000 patches.py:428(set_linewidth)
     6708    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.003    0.003 getlimits.py:166(_register_known_types)
      402    0.001    0.000    0.003    0.000 figure.py:2619(set_layout_engine)
      509    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     9714    0.003    0.000    0.003    0.000 backend_bases.py:779(get_clip_path)
      403    0.002    0.000    0.003    0.000 _twodim_base_impl.py:163(eye)
     9714    0.003    0.000    0.003    0.000 backend_bases.py:794(get_dashes)
        1    0.000    0.000    0.003    0.003 format.py:1(<module>)
      517    0.001    0.000    0.003    0.000 __init__.py:164(match)
     1019    0.002    0.000    0.003    0.000 __init__.py:167(check_getitem)
        1    0.000    0.000    0.003    0.003 _polynomial_impl.py:449(polyfit)
        8    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
     3836    0.002    0.000    0.003    0.000 inspect.py:3072(<genexpr>)
       34    0.000    0.000    0.003    0.000 patches.py:421(set_alpha)
     5276    0.003    0.000    0.003    0.000 backend_bases.py:945(set_linewidth)
     12/6    0.000    0.000    0.003    0.000 functools.py:977(__get__)
