Average velocities saved to average_velocities.txt
         31881503 function calls (31027791 primitive calls) in 41.996 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
59896/56058    0.063    0.000    0.755    0.000 contextlib.py:132(__enter__)
     6744    0.020    0.000    0.754    0.000 patches.py:306(get_transform)
     2532    0.206    0.000    0.737    0.000 axis3d.py:279(_get_coord_info)
   129130    0.289    0.000    0.716    0.000 copy.py:61(copy)
     1215    0.033    0.000    0.673    0.001 axis.py:1533(get_minorticklocs)
     9033    0.016    0.000    0.669    0.000 path.py:279(__deepcopy__)
      804    0.004    0.000    0.669    0.001 art3d.py:810(get_facecolor)
     6133    0.072    0.000    0.668    0.000 patches.py:790(get_patch_transform)
      804    0.006    0.000    0.664    0.001 art3d.py:800(_maybe_depth_shade_and_sort_colors)
59896/56061    0.081    0.000    0.651    0.000 contextlib.py:141(__exit__)
      200    0.008    0.000    0.649    0.003 axes3d.py:2640(scatter)
     2010    0.006    0.000    0.648    0.000 axis.py:234(set_clip_path)
      103    0.007    0.000    0.640    0.006 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.634    0.006 artist.py:126(__init_subclass__)
     9067    0.010    0.000    0.625    0.000 artist.py:1198(update)
   108406    0.378    0.000    0.622    0.000 cbook.py:2063(_setattr_cm)
        1    0.000    0.000    0.609    0.609 figure.py:1(<module>)
      603    0.006    0.000    0.581    0.001 axis3d.py:427(draw_pane)
  1161179    0.416    0.000    0.577    0.000 {built-in method builtins.isinstance}
   609066    0.318    0.000    0.574    0.000 __init__.py:694(_get)
    10281    0.033    0.000    0.568    0.000 text.py:1306(set_fontproperties)
      804    0.018    0.000    0.564    0.001 art3d.py:1170(_zalpha)
    27732    0.031    0.000    0.559    0.000 font_manager.py:906(copy)
     1043    0.008    0.000    0.551    0.001 patches.py:623(draw)
  1071228    0.375    0.000    0.546    0.000 _linalg.py:128(isComplexType)
     2418    0.043    0.000    0.535    0.000 axis.py:2559(get_tick_space)
     5264    0.018    0.000    0.529    0.000 backend_agg.py:94(draw_path)
   919769    0.482    0.000    0.517    0.000 {built-in method builtins.getattr}
     1215    0.004    0.000    0.508    0.000 axis.py:1529(get_majorticklocs)
     5264    0.474    0.000    0.499    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      200    0.012    0.000    0.495    0.002 _axes.py:4639(scatter)
      114    0.001    0.000    0.494    0.004 artist.py:1839(kwdoc)
    39379    0.380    0.000    0.485    0.000 cbook.py:1795(normalize_kwargs)
  1091572    0.479    0.000    0.479    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     7668    0.030    0.000    0.474    0.000 artist.py:1226(_cm_set)
     1285    0.024    0.000    0.463    0.000 {built-in method builtins.sum}
    64329    0.080    0.000    0.463    0.000 artist.py:103(_stale_axes_callback)
  1591298    0.441    0.000    0.441    0.000 {method 'get' of 'dict' objects}
    20019    0.030    0.000    0.441    0.000 proj3d.py:210(proj_transform)
   343657    0.331    0.000    0.439    0.000 __init__.py:99(check_in_list)
    33180    0.059    0.000    0.419    0.000 lines.py:647(set_data)
  2296025    0.414    0.000    0.414    0.000 {built-in method builtins.issubclass}
     1043    0.022    0.000    0.411    0.000 patches.py:574(_draw_paths_with_artist_properties)
    12064    0.047    0.000    0.408    0.000 lines.py:1188(set_marker)
      114    0.012    0.000    0.408    0.004 artist.py:1600(pprint_setters)
    26426    0.214    0.000    0.403    0.000 artist.py:180(__init__)
     4223    0.009    0.000    0.401    0.000 lines.py:1034(get_path)
22975/13012    0.202    0.000    0.393    0.000 transforms.py:2450(get_affine)
    59993    0.073    0.000    0.384    0.000 artist.py:436(set_transform)
     7719    0.035    0.000    0.382    0.000 transforms.py:1482(transform)
        1    0.000    0.000    0.381    0.381 colorbar.py:1(<module>)
    12915    0.066    0.000    0.369    0.000 font_manager.py:602(__init__)
  1186045    0.369    0.000    0.369    0.000 {built-in method numpy.asarray}
     3671    0.020    0.000    0.360    0.000 backend_agg.py:249(_prepare_font)
     3671    0.358    0.000    0.358    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    67605    0.132    0.000    0.347    0.000 lines.py:1275(set_xdata)
     7354    0.032    0.000    0.347    0.000 text.py:65(_get_text_metrics_with_cache)
     1816    0.035    0.000    0.337    0.000 axis.py:1215(_set_lim)
    63196    0.332    0.000    0.332    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      402    0.001    0.000    0.332    0.001 art3d.py:813(get_edgecolor)
     4144    0.026    0.000    0.332    0.000 artist.py:1469(get_valid_values)
     4215    0.020    0.000    0.330    0.000 axis.py:422(_apply_tickdir)
     3618    0.028    0.000    0.322    0.000 axis3d.py:25(_tick_update_position)
    18067    0.132    0.000    0.318    0.000 artist.py:1152(update_from)
    24936    0.070    0.000    0.318    0.000 markers.py:250(_recache)
    24950    0.026    0.000    0.315    0.000 transforms.py:1350(__add__)
    26984    0.057    0.000    0.313    0.000 transforms.py:2517(composite_transform_factory)
    66020    0.043    0.000    0.313    0.000 figure.py:65(_stale_figure_callback)
    11475    0.040    0.000    0.310    0.000 axis.py:433(update_position)
      400    0.001    0.000    0.309    0.001 box.py:150(calculate_kinetic_energy)
     2430    0.021    0.000    0.299    0.000 ticker.py:214(format_ticks)
    20260    0.080    0.000    0.298    0.000 proj3d.py:206(_vec_pad_ones)
    51397    0.117    0.000    0.296    0.000 transforms.py:1899(__init__)
    10511    0.045    0.000    0.295    0.000 transforms.py:814(from_extents)
    40400    0.062    0.000    0.294    0.000 box.py:158(<genexpr>)
    13545    0.044    0.000    0.285    0.000 path.py:99(__init__)
    20490    0.057    0.000    0.284    0.000 fromnumeric.py:51(_wrapfunc)
    15392    0.043    0.000    0.282    0.000 fromnumeric.py:3783(mean)
      534    0.003    0.000    0.276    0.001 backend_bases.py:1215(_process)
     9033    0.017    0.000    0.275    0.000 copy.py:225(_deepcopy_method)
    13955    0.018    0.000    0.273    0.000 font_manager.py:622(_from_any)
     3671    0.023    0.000    0.270    0.000 font_manager.py:1308(_find_fonts_by_props)
   112128    0.190    0.000    0.270    0.000 transforms.py:1779(__init__)
    17178    0.162    0.000    0.268    0.000 _shape_base_impl.py:633(column_stack)
     7287    0.013    0.000    0.268    0.000 transforms.py:2425(transform_affine)
    13447    0.058    0.000    0.262    0.000 core.py:3039(__array_finalize__)
      608    0.004    0.000    0.261    0.000 axis.py:780(_set_scale)
        1    0.000    0.000    0.260    0.260 contour.py:1(<module>)
     7178    0.125    0.000    0.260    0.000 inspect.py:882(cleandoc)
      414    0.008    0.000    0.259    0.001 backend_bases.py:1311(__init__)
   609067    0.255    0.000    0.255    0.000 {function RcParams.__getitem__ at 0x1149c9260}
    24173    0.035    0.000    0.254    0.000 colors.py:240(_check_color_like)
    34380    0.042    0.000    0.253    0.000 lines.py:737(set_transform)
      608    0.007    0.000    0.252    0.000 scale.py:103(set_default_locators_and_formatters)
      291    0.006    0.000    0.250    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
26096/25695    0.028    0.000    0.249    0.000 {method 'view' of 'numpy.ndarray' objects}
   743747    0.246    0.000    0.246    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.244    0.244 backend_bases.py:1(<module>)
    59896    0.083    0.000    0.241    0.000 contextlib.py:299(helper)
     6022    0.023    0.000    0.239    0.000 text.py:342(update_from)
    15392    0.082    0.000    0.238    0.000 _methods.py:119(_mean)
     6193    0.016    0.000    0.238    0.000 patches.py:924(get_bbox)
        1    0.000    0.000    0.238    0.238 cbook.py:1(<module>)
    44385    0.143    0.000    0.237    0.000 __init__.py:64(check_isinstance)
    44467    0.091    0.000    0.236    0.000 colors.py:275(to_rgba)
      414    0.004    0.000    0.231    0.001 backend_bases.py:1817(inaxes)
    24585    0.034    0.000    0.230    0.000 colors.py:221(is_color_like)
     7113    0.011    0.000    0.230    0.000 inspect.py:863(getdoc)
      326    0.006    0.000    0.228    0.001 backend_bases.py:1407(__init__)
    24990    0.098    0.000    0.228    0.000 transforms.py:759(__init__)
     1209    0.010    0.000    0.227    0.000 axes3d.py:764(_set_lim3d)
      603    0.017    0.000    0.226    0.000 art3d.py:389(do_3d_projection)
      414    0.003    0.000    0.224    0.001 patches.py:178(contains_point)
    53407    0.205    0.000    0.224    0.000 transforms.py:182(set_children)
    16290    0.103    0.000    0.223    0.000 lines.py:1143(set_linestyle)
     4215    0.009    0.000    0.223    0.000 axis.py:416(_get_text1_transform)
      723    0.005    0.000    0.221    0.000 axis3d.py:414(active_pane)
    67018    0.056    0.000    0.219    0.000 pyplot.py:1059(_auto_draw_if_interactive)
        2    0.000    0.000    0.219    0.110 backend_bases.py:1172(_on_timer)
        2    0.000    0.000    0.219    0.110 backend_macosx.py:70(callback_func)
        2    0.000    0.000    0.219    0.110 backend_macosx.py:79(_draw_idle)
        2    0.000    0.000    0.219    0.110 backend_macosx.py:49(draw)
    25233    0.069    0.000    0.218    0.000 transforms.py:2358(__init__)
    34831    0.134    0.000    0.218    0.000 font_manager.py:645(__hash__)
     1215    0.008    0.000    0.218    0.000 ticker.py:721(set_locs)
     7356    0.035    0.000    0.217    0.000 proj3d.py:247(_proj_trans_points)
    20067    0.116    0.000    0.215    0.000 core.py:3013(_update_from)
      611    0.009    0.000    0.214    0.000 axis.py:2343(_init)
    19717    0.021    0.000    0.212    0.000 transforms.py:1792(transform)
        1    0.000    0.000    0.211    0.211 text.py:1(<module>)
     9714    0.016    0.000    0.211    0.000 backend_bases.py:635(new_gc)
      804    0.018    0.000    0.209    0.000 colors.py:1364(__call__)
     4279    0.037    0.000    0.207    0.000 font_manager.py:1238(findfont)
      326    0.002    0.000    0.206    0.001 backend_bases.py:2976(mouse_move)
     4215    0.025    0.000    0.205    0.000 _base.py:940(get_xaxis_text1_transform)
  341/333    0.001    0.000    0.201    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
        2    0.000    0.000    0.200    0.100 pyplot.py:870(figure)
        2    0.000    0.000    0.200    0.100 pyplot.py:547(new_figure_manager)
    47288    0.044    0.000    0.199    0.000 transforms.py:158(invalidate)
     4221    0.007    0.000    0.198    0.000 transforms.py:2787(get_transformed_path_and_affine)
    11501    0.042    0.000    0.196    0.000 text.py:985(set_color)
     9714    0.051    0.000    0.195    0.000 backend_bases.py:711(__init__)
   102560    0.062    0.000    0.192    0.000 {built-in method builtins.setattr}
   103782    0.170    0.000    0.191    0.000 {built-in method numpy.array}
      202    0.013    0.000    0.190    0.001 _base.py:3005(_update_title_position)
    45/43    0.000    0.000    0.186    0.004 <frozen importlib._bootstrap_external>:1287(create_module)
    45/43    0.178    0.004    0.186    0.004 {built-in method _imp.create_dynamic}
    12961    0.072    0.000    0.185    0.000 fromnumeric.py:41(_wrapit)
    69052    0.077    0.000    0.185    0.000 colors.py:216(_is_nth_color)
  1070403    0.184    0.000    0.184    0.000 _linalg.py:2620(_norm_dispatcher)
     3093    0.034    0.000    0.184    0.000 transforms.py:463(transformed)
     2660    0.023    0.000    0.183    0.000 transforms.py:1428(__sub__)
        1    0.000    0.000    0.183    0.183 pyplot.py:3415(hist)
      200    0.182    0.001    0.182    0.001 {method 'write' of '_io.BufferedWriter' objects}
        2    0.000    0.000    0.177    0.089 backend_bases.py:3500(new_figure_manager)
      200    0.007    0.000    0.177    0.001 _base.py:2281(add_collection)
      218    0.001    0.000    0.176    0.001 artist.py:1421(__init__)
   122273    0.175    0.000    0.175    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.174    0.087 backend_bases.py:3509(new_figure_manager_given_figure)
        2    0.000    0.000    0.174    0.087 backend_bases.py:1786(new_manager)
        2    0.076    0.038    0.174    0.087 backend_bases.py:2673(create_with_canvas)
      218    0.070    0.000    0.174    0.001 artist.py:1441(get_aliases)
     2412    0.038    0.000    0.174    0.000 core.py:1044(__call__)
38507/21243    0.038    0.000    0.173    0.000 _base.py:912(get_xaxis_transform)
      602    0.009    0.000    0.172    0.000 axes3d.py:607(autoscale_view)
        1    0.000    0.000    0.171    0.171 _axes.py:1(<module>)
        9    0.000    0.000    0.171    0.019 _base.py:732(__init_subclass__)
